School_ID,School_Type,Student_Count_Total,ADA_Accessible,Dress_Code,Bilingual_Services,Refugee_Services,Title_1_Eligible,Average_ACT_School,College_Enrollment_Rate_School,Graduation_Rate_School,Overall_Rating,Rating_Status,Student_Growth_Rating,Student_Attainment_Rating,Culture_Climate_Rating,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Growth_ACT_Grade_11_Pct,Attainment_ACT_Grade_11_Pct,Freshmen_On_Track_School_Pct_Year_2,College_Persistence_School_Pct_Year_2,Supportive_School_Award,lib_cnt,Neighborhood Name,PRED_NON_ENG_LANG,PRED_NON_ENG_PERCENT,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME,HARDSHIP INDEX,Suspensions_Per_100_Students_Change,Misconducts_To_Suspensions_Change,Student_Attendance_Change,Teacher_Attendance_Change,One_Year_Dropout_Rate_Change,Student_Low_Income_Pct,Student_Special_Ed_Pct,Student_English_Learners_Pct,Student_Black_Pct,Student_Hispanic_Pct,Student_White_Pct,Student_Asian_Pct
609691,Neighborhood,954,Fully Accessible,N,Y,N,Y,15.9,42.6,74.3,Level 1,Good Standing,AVERAGE,BELOW AVERAGE,WELL ORGANIZED,STRONG,STRONG,STRONG,VERY STRONG,VERY STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.5,16,91.4,61.5,Established,2,HUMBOLDT PARK,SPANISH,0.18,0.148,0.339,0.173,0.354,0.38,13781,85,-0.3,-3.1,-1.4,4.5,1.1,0.945492662,0.165618449,0.190775681,0.160377358,0.814465409,0.011530398,0.00524109
609704,Neighborhood,731,No/unknown accessibility,Y,Y,N,Y,15.2,37.8,65.3,Level 2,Intensive Support,BELOW AVERAGE,BELOW AVERAGE,MODERATELY ORGANIZED,NEUTRAL,NEUTRAL,STRONG,WEAK,NEUTRAL,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.9,11,85.1,68.8,Established,7,SOUTH LAWNDALE,SPANISH,0.44,0.152,0.307,0.158,0.548,0.338,10402,96,-4,2.6,0.2,4.7,0.7,0.961696306,0.227086183,0.281805746,0.082079343,0.900136799,0.005471956,0
400106,Charter,807,No/unknown accessibility,Y,N,N,Y,18.2,81.3,77.4,Level 1,Not Applicable,FAR ABOVE AVERAGE,BELOW AVERAGE,WELL ORGANIZED,STRONG,STRONG,VERY STRONG,STRONG,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,2.1,34,88,68.9,Coming Soon,3,ENGLEWOOD,SPANISH,0,0.038,0.466,0.28,0.285,0.425,11888,94,0,0,1.4,0,4.1,0.956629492,0.208178439,0.011152416,0.972738538,0.019826518,0,0.001239157
610245,Neighborhood,103,Generally accessible,Y,Y,U,Y,13.6,20.7,56.3,Level 3,Intensive Support,FAR BELOW AVERAGE,FAR BELOW AVERAGE,WELL ORGANIZED,STRONG,STRONG,STRONG,STRONG,VERY STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-2,4,77.8,36.8,Coming Soon,4,AUSTIN,SPANISH,0.03,0.063,0.286,0.226,0.244,0.379,15957,73,-91.3,2,-0.1,4.2,-5.4,0.980582524,0.300970874,0.019417476,0.970873786,0.029126214,0,0
609724,Neighborhood,1430,Fully Accessible,N,Y,Y,Y,17.4,66.3,72.3,Level 1,Good Standing,AVERAGE,BELOW AVERAGE,WELL ORGANIZED,STRONG,STRONG,VERY STRONG,STRONG,VERY STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.3,30,76.5,78,Coming Soon,7,WEST RIDGE,SPANISH,0.09,0.078,0.172,0.088,0.208,0.385,23040,46,-1.3,-6.9,1.1,4.8,-2.4,0.843356643,0.120979021,0.258741259,0.118181818,0.358741259,0.19020979,0.306993007
400064,Charter,388,Fully Accessible,Y,Y,N,Y,17.5,81.6,85.7,Level 1,Not Applicable,ABOVE AVERAGE,BELOW AVERAGE,PARTIALLY ORGANIZED,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.6,26,96.3,80.6,Coming Soon,5,NEAR SOUTH SIDE,CHINESE,0.02,0.013,0.138,0.049,0.074,0.218,59077,7,0,0,0.9,0,1.8,0.863402062,0.193298969,0.020618557,0.868556701,0.100515464,0.005154639,0.010309278
400055,Charter,634,Generally accessible,Y,Y,N,Y,20.9,77.2,85.6,Level 1+,Not Applicable,FAR ABOVE AVERAGE,AVERAGE,WELL ORGANIZED,NEUTRAL,STRONG,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,3.3,67,86,77.9,Coming Soon,6,WEST TOWN,SPANISH,0.1,0.023,0.147,0.066,0.129,0.217,43198,10,0,0,0,0,0.6,0.823343849,0.138801262,0.124605678,0.167192429,0.785488959,0.022082019,0.004731861
400105,Charter,322,No/unknown accessibility,Y,N,N,Y,16.6,75,82.4,Level 1,Not Applicable,AVERAGE,BELOW AVERAGE,ORGANIZED,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,VERY WEAK,NEUTRAL,NEUTRAL,NEUTRAL,0.2,19,82.4,63,Coming Soon,3,DOUGLAS,CHINESE,0.03,0.018,0.296,0.182,0.143,0.307,23791,47,0,0,-0.7,0,1,0.813664596,0.192546584,0,0.97515528,0.01242236,0,0
400104,Charter,742,No/unknown accessibility,Y,Y,N,Y,16.7,56.4,82.8,Level 1,Not Applicable,AVERAGE,BELOW AVERAGE,ORGANIZED,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,-0.4,22,87.8,67.5,Coming Soon,3,LOWER WEST SIDE,SPANISH,0.4,0.096,0.258,0.158,0.407,0.326,16444,76,0,0,1.3,0,0.8,0.970350404,0.196765499,0.227762803,0.032345013,0.962264151,0.004043127,0
609698,Neighborhood,780,Generally accessible,N,Y,N,Y,14.9,54.6,75.7,Level 2+,Provisional Support,FAR BELOW AVERAGE,FAR BELOW AVERAGE,ORGANIZED,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,-1.6,9,92.9,57.1,Established,5,ASHBURN,SPANISH,0.12,0.04,0.104,0.117,0.177,0.369,23482,37,1.7,3,-0.9,5.6,0.4,0.91025641,0.248717949,0.097435897,0.503846154,0.476923077,0.005128205,0.001282051
610524,Small,319,Fully Accessible,N,Y,N,N,17.6,59.6,87.1,Level 1+,Good Standing,BELOW AVERAGE,BELOW AVERAGE,WELL ORGANIZED,VERY STRONG,STRONG,STRONG,VERY STRONG,VERY STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.8,28,85.3,76.9,Coming Soon,4,NORTH CENTER,SPANISH,0.04,0.003,0.075,0.052,0.045,0.262,57123,6,-2.1,27.3,-0.2,0,4.2,0.830721003,0.12539185,0.062695925,0.156739812,0.699059561,0.094043887,0.015673981
