School_ID,School_Type,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,ADA_Accessible,Dress_Code,Bilingual_Services,Refugee_Services,Title_1_Eligible,Average_ACT_School,College_Enrollment_Rate_School,Graduation_Rate_School,Overall_Rating,Rating_Status,Student_Growth_Rating,Student_Attainment_Rating,Culture_Climate_Rating,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Growth_ACT_Grade_11_Pct,Attainment_ACT_Grade_11_Pct,Freshmen_On_Track_School_Pct_Year_2,Graduation_5_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,College_Persistence_School_Pct_Year_2,Supportive_School_Award,lib_cnt,Neighborhood Name,PRED_NON_ENG_LANG,PRED_NON_ENG_PERCENT,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,Suspensions_Per_100_Students_Change,Misconducts_To_Suspensions_Change,Student_Attendance_Change,Teacher_Attendance_Change,One_Year_Dropout_Rate_Change
610245,Neighborhood,103,101,31,2,100,3,0,0,Generally accessible,Y,Y,U,Y,13.6,20.7,56.3,Level 3,Intensive Support,FAR BELOW AVERAGE,FAR BELOW AVERAGE,WELL ORGANIZED,STRONG,STRONG,STRONG,STRONG,VERY STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-2.0,4.0,77.8,56.3,20.7,36.8,Coming Soon,4,AUSTIN,SPANISH,0.03,0.063,0.28600000000000003,0.226,0.244,0.379,15957,73,-91.30000000000001,2.0,-0.10000000000000853,4.200000000000003,-5.4
609724,Neighborhood,1430,1206,173,370,169,513,272,439,Fully Accessible,N,Y,Y,Y,17.4,66.3,72.3,Level 1,Good Standing,AVERAGE,BELOW AVERAGE,WELL ORGANIZED,STRONG,STRONG,VERY STRONG,STRONG,VERY STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.3,30.0,76.5,72.3,66.3,78.0,Coming Soon,7,WEST RIDGE,SPANISH,0.09,0.078,0.172,0.08800000000000001,0.208,0.385,23040,46,-1.2999999999999998,-6.899999999999999,1.0999999999999943,4.799999999999997,-2.3999999999999995
400064,Charter,388,335,75,8,337,39,2,4,Fully Accessible,Y,Y,N,Y,17.5,81.6,85.7,Level 1,Not Applicable,ABOVE AVERAGE,BELOW AVERAGE,PARTIALLY ORGANIZED,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.6,26.0,96.3,85.7,81.6,80.6,Coming Soon,5,NEAR SOUTH SIDE,CHINESE,0.02,0.013,0.138,0.049,0.07400000000000001,0.218,59077,7,0.0,0.0,0.8999999999999915,0.0,1.8000000000000003
400055,Charter,634,522,88,79,106,498,14,3,Generally accessible,Y,Y,N,Y,20.9,77.2,85.6,Level 1+,Not Applicable,FAR ABOVE AVERAGE,AVERAGE,WELL ORGANIZED,NEUTRAL,STRONG,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,3.3,67.0,86.0,85.6,77.2,77.9,Coming Soon,6,WEST TOWN,SPANISH,0.1,0.023,0.147,0.066,0.129,0.217,43198,10,0.0,0.0,0.0,0.0,0.6000000000000001
400105,Charter,322,262,62,0,314,4,0,0,No/unknown accessibility,Y,N,N,Y,16.6,75.0,82.4,Level 1,Not Applicable,AVERAGE,BELOW AVERAGE,ORGANIZED,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,VERY WEAK,NEUTRAL,NEUTRAL,NEUTRAL,0.2,19.0,82.4,82.4,75.0,63.0,Coming Soon,3,DOUGLAS,CHINESE,0.03,0.018000000000000002,0.29600000000000004,0.182,0.14300000000000002,0.307,23791,47,0.0,0.0,-0.7000000000000028,0.0,1.0
400104,Charter,742,720,146,169,24,714,3,0,No/unknown accessibility,Y,Y,N,Y,16.7,56.4,82.8,Level 1,Not Applicable,AVERAGE,BELOW AVERAGE,ORGANIZED,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,-0.4,22.0,87.8,82.8,56.4,67.5,Coming Soon,3,LOWER WEST SIDE,SPANISH,0.4,0.096,0.258,0.158,0.407,0.326,16444,76,0.0,0.0,1.2999999999999972,0.0,0.8
609698,Neighborhood,780,710,194,76,393,372,4,1,Generally accessible,N,Y,N,Y,14.9,54.6,75.7,Level 2+,Provisional Support,FAR BELOW AVERAGE,FAR BELOW AVERAGE,ORGANIZED,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,-1.6,9.0,92.9,75.7,54.6,57.1,Established,5,ASHBURN,SPANISH,0.12,0.04,0.104,0.117,0.177,0.369,23482,37,1.700000000000001,3.0,-0.9000000000000057,5.6000000000000085,0.3999999999999999
610524,Small,319,265,40,20,50,223,30,5,Fully Accessible,N,Y,N,N,17.6,59.6,87.1,Level 1+,Good Standing,BELOW AVERAGE,BELOW AVERAGE,WELL ORGANIZED,VERY STRONG,STRONG,STRONG,VERY STRONG,VERY STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.8,28.0,85.3,87.1,59.6,76.9,Coming Soon,4,NORTH CENTER,SPANISH,0.04,0.003,0.075,0.052000000000000005,0.045,0.262,57123,6,-2.0999999999999996,27.299999999999997,-0.20000000000000284,0.0,4.199999999999999
609728,Neighborhood,1094,1020,211,312,161,755,63,81,Generally accessible,Y,Y,Y,Y,15.5,38.0,66.9,Level 2,Intensive Support,BELOW AVERAGE,BELOW AVERAGE,PARTIALLY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.7,14.0,71.4,66.9,38.0,64.3,Coming Soon,3,ALBANY PARK,SPANISH,0.29,0.113,0.192,0.1,0.329,0.32,21323,53,-7.400000000000002,7.899999999999999,1.6000000000000085,4.400000000000006,0.09999999999999964
400066,Charter,445,400,90,4,430,13,1,0,Generally accessible,Y,N,N,Y,17.3,62.3,78.1,Level 1,Not Applicable,ABOVE AVERAGE,BELOW AVERAGE,PARTIALLY ORGANIZED,NEUTRAL,NEUTRAL,STRONG,WEAK,WEAK,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.5,24.0,95.8,78.1,62.3,67.5,Coming Soon,5,DOUGLAS,CHINESE,0.03,0.018000000000000002,0.29600000000000004,0.182,0.14300000000000002,0.307,23791,47,0.0,0.0,0.5,0.0,2.6999999999999997
400086,Charter,271,241,68,1,270,1,0,0,Generally accessible,Y,N,N,Y,16.7,67.1,71.3,Level 2+,Not Applicable,AVERAGE,BELOW AVERAGE,PARTIALLY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,WEAK,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.1,19.0,67.3,71.3,67.1,76.9,Coming Soon,3,ENGLEWOOD,SPANISH,0.0,0.038,0.466,0.28,0.285,0.425,11888,94,0.0,0.0,2.3000000000000114,0.0,-0.2999999999999998
610557,Citywide-Option,227,200,27,22,62,141,22,0,No/unknown accessibility,N,U,U,Y,15.1,18.8,0.0,Level 2,Not Applicable,NO DATA AVAILABLE,BELOW AVERAGE,PARTIALLY ORGANIZED,NOT ENOUGH DATA,VERY STRONG,VERY WEAK,WEAK,NEUTRAL,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.062280701754386,11.0,84.7205128205129,0.0,18.8,56.0,Coming Soon,7,ASHBURN,SPANISH,0.12,0.04,0.104,0.117,0.177,0.369,23482,37,0.0,0.0,39.699999999999996,0.0,-1.6000000000000014
609705,Neighborhood,248,227,38,2,243,3,0,0,Fully Accessible,Y,Y,N,Y,14.7,29.0,49.5,Level 2,Intensive Support,BELOW AVERAGE,FAR BELOW AVERAGE,WELL ORGANIZED,STRONG,STRONG,VERY STRONG,STRONG,STRONG,NEUTRAL,VERY STRONG,VERY STRONG,VERY STRONG,-1.0,8.0,93.9,49.5,29.0,34.1,Emerging,4,ROSELAND,SPANISH,0.0,0.025,0.198,0.203,0.16899999999999998,0.412,17949,52,34.199999999999996,-2.0,-3.0,4.400000000000006,-1.2999999999999998
400051,Charter,655,580,79,55,82,552,8,5,No/unknown accessibility,Y,Y,N,Y,21.2,84.7,92.8,Level 1+,Not Applicable,FAR ABOVE AVERAGE,ABOVE AVERAGE,WELL ORGANIZED,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,3.7,71.0,89.6,92.8,84.7,75.7,Coming Soon,5,WEST TOWN,SPANISH,0.1,0.023,0.147,0.066,0.129,0.217,43198,10,0.0,0.0,0.09999999999999432,0.0,0.40000000000000013
609694,Selective enrollment,972,855,32,16,16,913,25,7,Fully Accessible,N,Y,N,Y,16.9,58.3,84.6,Level 1,Good Standing,BELOW AVERAGE,BELOW AVERAGE,WELL ORGANIZED,VERY STRONG,STRONG,VERY STRONG,STRONG,VERY STRONG,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,-0.9,24.0,98.5,84.6,58.3,71.0,Emerging,5,WEST ELSDON,SPANISH,0.31,0.111,0.156,0.16699999999999998,0.37,0.377,15754,69,5.699999999999999,22.0,-0.3999999999999915,4.3999999999999915,-0.3999999999999999
609739,Neighborhood,1435,1297,216,184,76,1258,79,3,Generally accessible,Y,Y,N,Y,17.7,54.9,72.2,Level 1,Good Standing,AVERAGE,BELOW AVERAGE,WELL ORGANIZED,STRONG,STRONG,STRONG,NEUTRAL,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.1,30.0,93.3,72.2,54.9,77.4,Coming Soon,1,EAST SIDE,SPANISH,0.26,0.068,0.192,0.121,0.319,0.428,17104,64,4.0,0.40000000000000036,-0.29999999999999716,4.900000000000006,0.09999999999999964
609761,Neighborhood,307,284,85,0,302,4,0,0,Fully Accessible,Y,N,N,Y,14.3,34.4,62.6,Level 2,Intensive Support,BELOW AVERAGE,FAR BELOW AVERAGE,WELL ORGANIZED,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-1.0,6.0,88.4,62.6,34.4,39.5,Emerging,3,PULLMAN,SPANISH,0.04,0.015,0.21600000000000005,0.228,0.131,0.386,20588,51,11.3,19.6,-2.0,3.700000000000003,-1.0999999999999996
